Read,DNF,Author,Series Title,#In Series,Title,Page Count,Edition,Digitally Signed,Signed,Sprayed Edges,Hidden Cover,Reversable Dust Jacket,Started Reading,Finished Reading,Rating,Publisher,Gifted
TRUE,FALSE,Hannah Grace,Maple Hills,1,Icebreaker,429,Fairyloot,FALSE,TRUE,TRUE,TRUE,FALSE,12/02/2023,20/02/2023,4/5,Simon & Schuster,
TRUE,FALSE,Hannah Grace,Maple Hills,2,Wildfire,383,Fairyloot,FALSE,TRUE,TRUE,TRUE,FALSE,09/09/2023,15/09/2023,4/5,Simon & Schuster,
FALSE,FALSE,Hafsah Faizal,Blood and Tea,1,A Tempest of Tea,336,Hardback Waterstones Exclusive,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Milton
TRUE,FALSE,Hannah Nicole Maehrer,Assisstant to the Villain,1,Assisstant to the Villain,340,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,11/02/2024,14/02/2024,4/5,Penguin,
FALSE,FALSE,Hannah Nicole Maehrer,Assisstant to the Villain,2,Apprentice to the Villain,337,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Penguin,
TRUE,FALSE,Helen Scheuerer,The Ashes of Thezmarr,1,Iron and Embers,518,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,04/04/2025,08/04/2025,3/5,Bramble,
TRUE,FALSE,Imani Irriu,Heavenly Bodies,1,Heavenly Bodies,515,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,31/03/2025,03/04/2025,4/5,Penguin Viking,
TRUE,FALSE,Jane Washington,Ironside Academy,1,Plier,451,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,17/10/2024,18/10/2024,5/5,Indie,
TRUE,FALSE,Jane Washington,Ironside Academy,2,Tourner,473,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,19/10/2024,20/10/2024,5/5,Indie,
TRUE,FALSE,Jasmine Mas,Villains of Lore,1,Blood of Hercules,466,Hardback Waterstones Exclusive,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,
TRUE,FALSE,Jennifer L. Armentrout,Blood and Ash,1,From Blood and Ash,480,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,27/02/2024,07/03/2024,5/5,Indie,Vanessa
TRUE,FALSE,Jennifer L. Armentrout,Blood and Ash,2,A Kingdom of Flesh and Fire,558,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,20/03/2024,24/03/2024,5/5,Indie,
TRUE,FALSE,Jennifer L. Armentrout,Blood and Ash,3,The Crown of Gilded Bones,562,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,24/03/2024,29/03/2024,5/5,Indie,
TRUE,FALSE,Jennifer L. Armentrout,Blood and Ash,4,The War of Two Queens,623,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,15/04/2024,18/04/2024,5/5,Indie,
TRUE,FALSE,Jennifer L. Armentrout,Blood and Ash,5,A Soul of Ash and Blood ,431,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Indie,
FALSE,FALSE,Jennifer L. Armentrout,Blood and Ash,5.5,Visions of flesh and blood: A Blood and Ash/Flesh and Fire Compendium,547,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Indie,
TRUE,FALSE,Jennifer L. Armentrout,Blood and Ash,1,From Blood and Ash,,German Edition,FALSE,FALSE,TRUE,FALSE,FALSE,27/02/2024,07/03/2024,5/5,,
TRUE,FALSE,Jennifer L. Armentrout,Flesh and Fire,1,Shadow in the Ember,647,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,09/04/2024,14/04/2024,5/5,Indie,Milton
TRUE,FALSE,Jennifer L. Armentrout,Flesh and Fire,2,A Light in the Flame,593,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,10/05/2024,20/05/2024,5/5,Indie,
TRUE,FALSE,Jennifer L. Armentrout,Flesh and Fire,3,A Fire in the Flesh,528,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,03/01/2025,07/01/2025,4/5,Indie,Milton
FALSE,FALSE,Jennifer L. Armentrout,Flesh and Fire,4,Born of Blood and Ash,723,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Indie,
TRUE,FALSE,Jennifer L. Armentrout,Awakening,1,Fall of Ruin and Wrath,415,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,FALSE,FALSE,21/07/2025,26/07/2025,5/5,TOR,
TRUE,FALSE,Juliette Cross,The Fire that Binds,1,Firebird,400,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,27/03/2025,29/03/2025,5/5,Bramble,
TRUE,FALSE,J. Bree,The Bonds That Tie,1,Broken Bonds,418,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,17/10/2023,18/10/2023,5/5,Indie,Milton
TRUE,FALSE,J. Bree,The Bonds That Tie,2,Savage Bonds,495,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,18/10/2023,19/10/2023,5/5,Indie,Mlton
TRUE,FALSE,J. Bree,The Mortal Fates,1,The Crown of Oathes and Curses,,Bookish box Edition,TRUE,FALSE,TRUE,TRUE,TRUE,14/12/2024,17/12/2024,5/5,,
FALSE,FALSE,Katee Robert,Blood Line Vampires ,1-3,Court of the Vampire Queen,476,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Sourcebooks Casablanca,
TRUE,FALSE,Kayla Grosse,Cowboys of Night Hawk,1,Rein Me In,312,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,13/10/2024,15/10/2024,4/5,Indie,
FALSE,FALSE,Kerri Maniscalco,Princes of Sin,1,Throne of the Fallen,561,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,TRUE,FALSE,,,,Hodderscape,
TRUE,FALSE,Lauren Asher,Dreamland Billionaires,1,The Fine Print,434,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,11/05/2024,15/05/2024,4/5,Piatkus,
TRUE,FALSE,Lauren Asher,Dreamland Billionaires,3,Final Offer,577,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,25/02/2023,02/03/2023,4.5/5,Piatkus,
TRUE,FALSE,Lauren Asher,Dreamland Billionaires,3,Final Offer,,Hardback German Edition,FALSE,FALSE,TRUE,TRUE,FALSE,26/02/2023,03/03/2023,4.5/5,Piatkus,
TRUE,FALSE,Lauren Roberts,The Powerless Trilogy,1,Powerless,502,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,23/09/2024,26/09/2024,5/5,Simon & Schuster,
TRUE,FALSE,Lauren Roberts,The Powerless Trilogy,1.5,Powerful,246,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,26/09/2024,27/09/2024,5/5,Simon & Schuster,Emma
TRUE,FALSE,Lauren Roberts,The Powerless Trilogy,2,Reckless,388,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,01/10/2024,03/10/2024,3/5,Simon & Schuster,
TRUE,FALSE,Lauren Roberts,The Powerless Trilogy,1,Powerless,502,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,TRUE,TRUE,23/09/2024,26/09/2024,5/5,Simon & Schuster,
